top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,Class
o,x,x,o,x,b,o,o,x,negative
o,x,x,o,x,b,o,b,b,negative
o,x,x,o,o,x,x,b,o,negative
o,x,x,o,o,x,o,x,b,negative
o,x,x,o,o,x,b,x,o,negative
o,x,x,o,o,o,x,x,b,negative
o,x,x,o,o,o,x,b,x,negative
o,x,x,o,o,o,b,x,x,negative
o,x,x,o,o,b,x,x,o,negative
o,x,x,o,o,b,o,x,x,negative
o,x,x,o,b,x,o,x,o,negative
o,x,x,o,b,x,o,b,b,negative
o,x,x,o,b,o,o,x,x,negative
o,x,x,o,b,b,o,x,b,negative
o,x,x,o,b,b,o,b,x,negative
o,x,x,b,x,x,o,o,o,negative
o,x,x,b,o,x,x,o,o,negative
o,x,x,b,o,x,o,x,o,negative
o,x,x,b,o,x,b,b,o,negative
o,x,x,b,o,o,x,x,o,negative
o,x,x,b,o,b,x,b,o,negative
o,x,x,b,o,b,b,x,o,negative
o,x,o,x,x,o,x,b,o,negative
o,x,o,x,o,x,x,b,o,negative
o,x,o,x,o,x,o,x,b,negative
o,x,o,x,o,x,o,b,x,negative
o,x,o,x,o,x,b,x,o,negative
o,x,o,x,o,b,x,x,o,negative
o,x,o,x,o,b,o,x,x,negative
o,x,o,x,b,o,x,x,o,negative
o,x,o,o,x,x,o,b,x,negative
o,x,o,o,b,x,o,x,x,negative
o,x,o,b,o,x,x,x,o,negative
o,x,o,b,o,x,o,x,x,negative
o,x,b,x,o,x,x,o,o,negative
o,x,b,x,o,x,o,x,o,negative
o,x,b,x,o,x,b,b,o,negative
o,x,b,x,o,o,x,x,o,negative
o,x,b,x,o,b,x,b,o,negative
o,x,b,x,o,b,b,x,o,negative
o,x,b,o,x,x,o,o,x,negative
o,x,b,o,x,x,o,b,b,negative
o,x,b,o,x,b,o,b,x,negative
o,x,b,o,o,x,x,x,o,negative
o,x,b,o,o,x,o,x,x,negative
o,x,b,o,b,x,o,x,b,negative
o,x,b,o,b,x,o,b,x,negative
o,x,b,o,b,b,o,x,x,negative
o,x,b,b,o,x,x,b,o,negative
o,x,b,b,o,x,b,x,o,negative
o,x,b,b,o,b,x,x,o,negative
o,o,x,x,o,x,x,o,b,negative
o,o,x,x,o,x,x,b,o,negative
o,o,x,x,o,x,b,x,o,negative
o,o,x,x,o,b,x,x,o,negative
o,o,x,x,o,b,x,o,x,negative
o,o,x,o,x,x,o,x,b,negative
o,o,x,o,x,b,o,x,x,negative
o,o,x,b,o,x,x,x,o,negative
o,o,o,x,x,o,x,x,b,negative
o,o,o,x,x,o,x,b,x,negative
o,o,o,x,x,o,b,x,x,negative
o,o,o,x,x,b,x,x,o,negative
o,o,o,x,x,b,x,o,x,negative
o,o,o,x,x,b,x,b,b,negative
o,o,o,x,x,b,o,x,x,negative
o,o,o,x,x,b,b,x,b,negative
o,o,o,x,x,b,b,b,x,negative
o,o,o,x,o,x,x,x,b,negative
o,o,o,x,o,x,x,b,x,negative
o,o,o,x,o,x,b,x,x,negative
o,o,o,x,b,x,x,x,o,negative
o,o,o,x,b,x,x,o,x,negative
o,o,o,x,b,x,x,b,b,negative
x,x,o,b,x,b,o,o,x,positive
x,x,b,x,o,o,x,o,b,positive
x,x,b,x,o,o,x,b,o,positive
x,x,b,x,o,b,x,o,o,positive
x,x,b,x,b,o,x,o,o,positive
x,x,b,o,x,o,o,x,b,positive
x,x,b,o,x,o,o,b,x,positive
x,x,b,o,x,o,b,x,o,positive
x,x,b,o,x,o,b,o,x,positive
x,x,b,o,x,b,o,x,o,positive
x,x,b,o,x,b,o,o,x,positive
x,x,b,b,x,o,o,x,o,positive
x,x,b,b,x,o,o,o,x,positive
x,o,x,x,x,o,x,o,o,positive
x,o,x,x,x,o,o,o,x,positive
x,o,x,x,o,o,x,x,o,positive
x,o,x,x,o,o,x,b,b,positive
x,o,x,x,o,b,x,b,o,positive
x,o,x,x,b,o,x,o,b,positive
x,o,x,x,b,o,x,b,o,positive
x,o,x,x,b,b,x,o,o,positive
x,o,x,o,x,x,x,o,o,positive
x,o,x,o,x,x,o,o,x,positive
x,o,x,o,x,o,x,x,o,positive
x,o,x,o,x,o,x,o,x,positive
x,o,x,o,x,o,x,b,b,positive
x,o,x,o,x,o,o,x,x,positive
x,o,x,o,x,o,b,b,x,positive
x,o,x,o,x,b,x,o,b,positive
x,o,x,o,x,b,x,b,o,positive
x,o,x,o,x,b,o,b,x,positive
x,o,x,o,x,b,b,o,x,positive
x,o,x,o,o,x,o,x,x,positive
x,o,x,o,o,x,b,b,x,positive
x,o,x,o,b,x,o,b,x,positive
x,o,x,o,b,x,b,o,x,positive
x,o,x,b,x,o,x,o,b,positive
x,o,x,b,x,o,x,b,o,positive
x,o,x,b,x,o,o,b,x,positive
x,o,x,b,x,o,b,o,x,positive
x,o,x,b,x,b,x,o,o,positive
x,o,x,b,x,b,o,o,x,positive
x,o,x,b,o,x,o,b,x,positive
x,o,x,b,b,x,o,o,x,positive
x,o,o,x,x,x,x,o,o,positive
x,o,o,x,x,x,o,x,o,positive
x,o,o,x,x,x,o,o,x,positive
x,o,o,x,x,x,o,b,b,positive
x,o,o,x,x,x,b,o,b,positive
x,o,o,x,x,x,b,b,o,positive
x,o,o,x,x,o,x,o,x,positive
x,o,o,x,x,o,x,b,b,positive
x,o,o,x,x,o,o,x,x,positive
x,o,o,x,x,o,b,b,x,positive
x,o,o,x,x,b,x,o,b,positive
x,o,o,x,x,b,x,b,o,positive
x,o,o,x,x,b,o,b,x,positive
x,o,o,x,x,b,b,o,x,positive
x,o,o,x,o,x,x,x,o,positive
x,o,o,x,o,x,x,b,b,positive
x,o,o,x,o,o,x,x,x,positive
x,o,o,x,o,b,x,x,b,positive
x,o,o,x,o,b,x,b,x,positive
x,o,o,x,b,x,x,o,b,positive
x,o,o,x,b,x,x,b,o,positive
x,o,o,x,b,o,x,x,b,positive
x,o,o,x,b,o,x,b,x,positive
x,o,o,x,b,b,x,x,o,positive
x,o,o,x,b,b,x,o,x,positive
x,o,o,x,b,b,x,b,b,positive
x,o,o,o,x,x,x,o,x,positive
x,o,o,o,x,x,o,x,x,positive
x,o,o,o,x,x,b,b,x,positive
x,o,o,o,x,o,x,x,x,positive
x,o,o,o,x,b,x,b,x,positive
x,o,o,o,x,b,b,x,x,positive
x,o,o,o,o,x,x,x,x,positive
x,o,o,o,b,b,x,x,x,positive
x,o,o,b,x,x,o,b,x,positive
x,o,o,b,x,x,b,o,x,positive
x,o,o,b,x,o,x,b,x,positive
x,o,o,b,x,o,b,x,x,positive
x,o,o,b,x,b,x,o,x,positive
x,o,o,b,x,b,o,x,x,positive
x,o,o,b,x,b,b,b,x,positive
x,o,o,b,o,b,x,x,x,positive
x,o,o,b,b,o,x,x,x,positive
x,o,b,x,x,x,o,o,b,positive
x,o,b,x,x,x,o,b,o,positive
x,o,b,x,x,x,b,o,o,positive
x,o,b,x,x,o,x,o,b,positive
x,o,b,x,x,o,x,b,o,positive
x,o,b,x,x,o,o,b,x,positive
x,o,b,x,x,o,b,o,x,positive
x,o,b,x,x,b,x,o,o,positive
x,o,b,x,x,b,o,o,x,positive
x,o,b,x,o,x,x,b,o,positive
x,o,b,x,o,o,x,x,b,positive
x,o,b,x,o,o,x,b,x,positive
x,o,b,x,o,b,x,x,o,positive
o,x,x,o,b,o,x,o,b,ongoing
x,x,o,o,b,x,b,o,x,ongoing
o,x,b,o,x,o,x,b,o,ongoing
b,x,x,o,o,b,x,o,x,ongoing
o,x,o,x,b,x,o,b,x,ongoing
b,x,o,x,o,b,x,o,x,ongoing
x,b,x,o,b,o,o,x,b,ongoing
x,o,x,o,b,x,b,x,o,ongoing
b,x,x,o,x,o,o,b,x,ongoing
x,o,x,o,b,b,o,x,b,ongoing
b,x,o,x,o,x,b,b,o,ongoing
x,b,o,o,x,x,o,x,b,ongoing
o,x,b,o,b,o,x,x,o,ongoing
b,o,x,x,o,o,b,x,x,ongoing
b,x,o,o,x,x,o,b,o,ongoing
x,o,x,b,b,o,x,o,x,ongoing
x,x,b,o,b,o,x,x,o,ongoing
x,o,b,x,o,x,b,x,b,ongoing
o,x,x,o,o,b,x,o,x,ongoing
b,o,x,b,o,x,o,x,b,ongoing
o,x,o,b,x,o,x,o,x,ongoing
b,x,o,o,b,x,x,o,x,ongoing
o,b,o,x,o,x,x,b,x,ongoing
b,o,x,x,o,x,b,x,o,ongoing
x,o,o,b,o,x,b,x,o,ongoing
b,x,o,x,x,o,o,b,x,ongoing
o,x,x,b,x,o,o,b,x,ongoing
x,o,b,x,x,b,o,x,o,ongoing
b,x,o,o,x,x,o,b,x,ongoing
b,o,x,x,o,x,b,x,o,ongoing
x,x,o,o,b,x,x,o,b,ongoing
o,x,o,x,o,b,x,o,x,ongoing
b,x,x,o,b,o,x,o,x,ongoing
x,o,b,x,o,b,o,x,x,ongoing
x,x,o,b,o,o,x,o,b,ongoing
o,b,x,x,x,o,o,b,x,ongoing
b,x,o,o,x,x,b,o,x,ongoing
b,o,x,o,x,o,b,x,o,ongoing
b,o,x,x,x,o,b,x,o,ongoing
o,x,o,x,o,x,b,x,b,ongoing
b,x,x,o,b,x,o,x,o,ongoing
o,x,o,x,x,o,b,b,x,ongoing
b,o,x,x,o,x,o,x,b,ongoing
o,x,b,x,x,o,o,b,x,ongoing
b,x,o,x,o,b,x,x,o,ongoing
x,o,x,b,o,o,b,x,o,ongoing
b,o,x,x,x,o,b,o,x,ongoing
x,x,b,o,o,x,o,b,x,ongoing
o,x,o,x,x,b,x,b,o,ongoing
b,x,o,x,o,o,x,o,x,ongoing
x,o,x,b,o,x,o,x,b,ongoing
o,x,o,x,o,b,x,x,b,ongoing
x,x,o,o,x,b,x,b,o,ongoing
x,o,x,b,o,x,b,x,o,ongoing
b,x,o,x,o,x,x,b,o,ongoing
b,x,o,x,o,b,x,o,x,ongoing
b,x,o,x,x,o,b,o,x,ongoing
x,o,b,o,x,x,o,x,b,ongoing
b,x,o,x,o,b,x,o,x,ongoing
x,o,x,b,x,x,o,b,o,ongoing
o,x,o,x,o,x,x,b,b,ongoing
o,x,x,o,b,o,x,x,b,ongoing
b,x,x,o,o,x,o,x,b,ongoing
o,x,o,x,b,x,o,b,x,ongoing
b,x,o,o,x,x,b,o,x,ongoing
o,x,x,b,x,o,b,o,x,ongoing
x,o,b,o,x,x,o,x,b,ongoing
b,o,x,x,o,x,x,b,o,ongoing
b,x,x,o,o,x,o,x,b,ongoing
x,o,x,b,o,b,o,x,o,ongoing
b,x,o,o,x,x,b,o,x,ongoing
o,x,o,b,x,x,o,b,o,ongoing
b,o,x,x,x,o,b,o,x,ongoing
b,x,o,o,x,b,x,o,x,ongoing
x,o,x,b,o,b,o,x,x,ongoing
x,o,x,x,o,o,b,x,o,ongoing
b,o,x,o,x,x,o,x,o,ongoing
o,x,o,x,o,b,x,b,x,ongoing
b,x,x,o,x,o,o,b,x,ongoing
x,o,x,b,o,x,o,b,o,ongoing
o,x,b,x,o,x,o,x,b,ongoing
x,x,o,b,o,o,x,b,x,ongoing
b,x,o,x,x,b,o,o,x,ongoing
x,o,x,o,x,x,b,b,o,ongoing
o,x,b,x,x,o,x,o,b,ongoing
