top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,Class
o,o,o,x,x,o,b,x,x,negative
b,o,x,x,o,b,b,o,x,negative
b,b,x,o,o,o,b,x,x,negative
x,o,x,b,o,b,b,o,x,negative
x,o,x,x,o,x,b,o,o,negative
o,o,o,o,x,x,x,b,x,negative
o,b,x,b,o,b,x,x,o,negative
x,x,o,b,o,o,o,x,x,negative
b,x,x,o,x,x,o,o,o,negative
o,x,x,o,x,x,o,o,b,negative
o,x,x,x,o,o,b,x,o,negative
x,x,o,b,o,b,o,b,x,negative
x,x,o,o,o,x,x,x,o,tied
x,x,x,o,x,o,o,o,x,tied
o,x,x,o,o,o,x,x,o,tied
x,x,o,x,x,o,x,o,o,tied
b,x,o,b,b,b,x,b,o,ongoing
b,b,o,x,b,b,o,x,b,ongoing
b,o,b,b,x,b,x,o,b,ongoing
b,b,x,b,o,b,b,x,o,ongoing
b,x,o,b,b,b,x,o,b,ongoing
x,b,b,o,b,b,o,x,b,ongoing
b,o,x,b,b,b,o,b,x,ongoing
o,b,b,b,x,o,b,x,b,ongoing
b,b,o,b,x,b,o,b,x,ongoing
b,o,b,x,b,b,x,b,o,ongoing
b,b,o,x,b,b,x,o,b,ongoing
b,o,x,b,b,o,b,x,b,ongoing
b,o,b,b,x,o,b,x,b,ongoing
b,b,x,o,b,b,o,b,x,ongoing
o,b,b,x,b,b,x,o,b,ongoing
b,x,o,b,b,b,o,b,x,ongoing
x,b,o,b,b,b,x,b,o,ongoing
b,b,x,o,b,b,x,b,o,ongoing
o,b,b,x,b,b,o,b,x,ongoing
b,b,o,b,x,o,b,b,x,ongoing
o,b,b,x,b,b,x,b,o,ongoing
b,b,x,b,b,b,o,b,x,ongoing
b,x,b,b,b,o,b,b,x,ongoing
b,o,b,b,b,x,b,b,o,ongoing
b,b,b,x,o,b,b,b,x,ongoing
o,b,b,b,x,b,b,b,x,ongoing
x,b,b,b,b,o,b,x,b,ongoing
b,x,b,b,b,o,b,b,o,ongoing
b,b,b,x,o,b,b,x,b,ongoing
b,b,b,o,b,x,b,b,o,ongoing
o,b,b,x,b,b,b,b,x,ongoing
x,b,b,b,b,x,b,o,b,ongoing
b,b,x,b,b,o,b,b,x,ongoing
b,x,b,b,o,b,b,b,o,ongoing
b,o,b,b,x,b,b,b,x,ongoing
b,b,b,o,b,x,b,o,b,ongoing
x,b,b,b,b,o,b,b,x,ongoing
b,o,b,b,x,b,b,b,o,ongoing
b,b,b,o,b,x,b,b,x,ongoing
b,b,o,b,b,b,x,b,x,ongoing
x,b,b,b,b,x,o,b,b,ongoing
b,b,o,b,b,b,x,b,o,ongoing
b,b,b,o,b,b,b,x,o,ongoing
